Word, Definition
Affectionate,(of a person) Having affection or warm regard; loving; fond
Confident,A person in whom one can confide or share one's secrets: a friend
Grateful,Appreciative; thankful
Peaceful,Not at war or disturbed by strife or turmoil
Engaged,To interact socially
Excited,To stir the emotions of
Inspired,"To infuse into the mind; to communicate to the spirit; to convey, as by a divine or supernatural influence; to disclose preternaturally; to produce in, as by inspiration"
Joyful,Feeling or causing joy
Exhilirated,"To cheer, to cheer up, to gladden, to make happy"
Refreshed,To renew or revitalize
Hopeful,"Someone who is hoping for success or victory, especially as a candidate in a political election"
Afraid,"usually used predicatively, not attributively, be afraid) Impressed with fear or apprehension; in fear"
Confused,"To puzzle, perplex, baffle, bewilder (somebody)"
Embarrassed,To humiliate; to disrupt somebody's composure or comfort with acting publicly or freely; to disconcert; to abash
Tense,Any of the forms of a verb which distinguish when an action or state of being occurs or exists
Annoyed,"To disturb or irritate, especially by continued or repeated acts; to bother with unpleasant deeds"
Disconnected,To sever or interrupt a connection
Fatigue,A weariness caused by exertion; exhaustion
Vulnerable,"More or most likely to be exposed to the chance of being attacked or harmed, either physically or emotionally"
Angry,Displaying or feeling anger
Disquiet,Lack of quiet; absence of tranquility in body or mind
Pain,"An ache or bodily suffering, or an instance of this; an unpleasant sensation, resulting from a derangement of functions, disease, or injury by violence; hurt"
Aversion,Opposition or repugnance of mind; fixed dislike
Sad,To make melancholy; to sadden or grieve (someone)